Product_ID,Brand,Category,Price_INR,Units_Sold,Discount_Percent,Revenue_INR,Rating,Customer_Age,Customer_Gender,Skin_Type,Region,Sales_Channel,Sale_Date,Returned,Month,Quarter,Day_of_Week,Is_weekend,Price_Range,Age_Group,Revenue_Per_Unit,Rating_Category,High_Rating,Return_Loss_INR
PROD0001,Lakme,Foundation,2672.7,16,5,40625.04,3.1,22,Female,Normal,Delhi,Brand Store,17-02-2023,0,February,1,Friday,0,Premium,Young Adult,2539.06,Average,0,0
PROD0002,Faces Canada,Lipstick,656.53,42,0,27574.26,4.3,42,Female,Sensitive,Chennai,Retail Store,04-01-2023,0,January,1,Wednesday,0,Mid-Range,Mature,656.53,Good,1,0
PROD0003,Revlon,Highlighter,1049.53,14,15,12489.41,4.9,37,Female,Normal,Delhi,Online,26-06-2023,0,June,2,Monday,0,Mid-Range,Mature,892.1,Excellent,1,0
PROD0004,Faces Canada,Eyeliner,273.88,25,15,5819.95,2.7,34,Female,Dry,Pune,Brand Store,24-01-2023,0,January,1,Tuesday,0,Budget,Mature,232.8,Poor,0,0
PROD0005,MAC,Foundation,3072.61,25,10,69133.73,3.2,39,Female,Combination,Bangalore,Retail Store,17-05-2023,0,May,2,Wednesday,0,Premium,Mature,2765.35,Average,0,0
PROD0006,Colorbar,Foundation,2331.57,35,0,81604.95,4.3,26,Non-binary,Combination,Ahmedabad,Retail Store,24-11-2023,0,November,4,Friday,0,Premium,Young Adult,2331.57,Good,1,0
PROD0007,Lakme,Concealer,794.75,3,0,2384.25,4.5,41,Male,Dry,Hyderabad,Online,18-10-2023,0,October,4,Wednesday,0,Mid-Range,Mature,794.75,Excellent,1,0
PROD0008,Nykaa,Eyeliner,1338.44,42,10,50593.03,3.6,32,Female,Sensitive,Bangalore,Online,27-10-2023,0,October,4,Friday,0,Mid-Range,Mature,1204.6,Average,0,0
PROD0009,MAC,Concealer,2793.04,9,0,25137.36,3.8,21,Female,Dry,Mumbai,Online,15-12-2023,0,December,4,Friday,0,Premium,Young Adult,2793.04,Average,0,0
PROD0010,Colorbar,Highlighter,2989.52,34,15,86397.13,3.1,51,Female,Oily,Mumbai,Brand Store,02-10-2023,0,October,4,Monday,0,Premium,Mature,2541.09,Average,0,0
PROD0011,Maybelline,Concealer,962.39,11,5,10056.98,3.6,32,Male,Oily,Bangalore,Brand Store,02-06-2023,0,June,2,Friday,0,Mid-Range,Mature,914.27,Average,0,0
PROD0012,L'Oreal,Eyeshadow,1682.86,11,20,14809.17,3.8,49,Female,Combination,Mumbai,Brand Store,27-02-2023,1,February,1,Monday,0,Premium,Mature,1346.29,Average,0,14809.17
PROD0013,MAC,Blush,379.39,37,20,11229.94,4.9,21,Female,Sensitive,Ahmedabad,Online,07-03-2023,0,March,1,Tuesday,0,Budget,Young Adult,303.51,Excellent,1,0
PROD0014,NYX,Mascara,1149.34,39,5,42583.05,3.6,29,Female,Combination,Chennai,Brand Store,10-12-2023,0,December,4,Sunday,1,Mid-Range,Young Adult,1091.87,Average,0,0
PROD0015,Sugar,Primer,774.23,15,0,11613.45,2.7,17,Female,Dry,Chennai,Brand Store,29-12-2023,0,December,4,Friday,0,Mid-Range,Mature,774.23,Poor,0,0
PROD0016,Revlon,Lipstick,362.04,16,0,5792.64,3.2,47,Female,Dry,Chennai,Brand Store,20-10-2023,0,October,4,Friday,0,Budget,Mature,362.04,Average,0,0
PROD0017,Nykaa,Eyeliner,365.76,7,25,1920.24,4.1,38,Male,Normal,Kolkata,Retail Store,28-01-2023,0,January,1,Saturday,1,Budget,Mature,274.32,Good,1,0
PROD0018,Lakme,Foundation,1587.79,22,0,34931.38,4.5,22,Female,Dry,Chennai,Online,13-03-2023,0,March,1,Monday,0,Premium,Young Adult,1587.79,Excellent,1,0
PROD0019,Maybelline,Eyeshadow,1939.03,36,20,55844.06,2.7,50,Female,Dry,Mumbai,Online,06-09-2023,0,September,3,Wednesday,0,Premium,Mature,1551.22,Poor,0,0
PROD0020,L'Oreal,Lipstick,1071.02,25,0,26775.5,3.2,45,Female,Sensitive,Hyderabad,Retail Store,07-09-2023,0,September,3,Thursday,0,Mid-Range,Mature,1071.02,Average,0,0
PROD0021,Colorbar,Lipstick,1891.93,4,25,5675.79,4.4,19,Female,Normal,Mumbai,Brand Store,29-09-2023,0,September,3,Friday,0,Premium,Mature,1418.95,Good,1,0
PROD0022,L'Oreal,Foundation,518.34,5,0,2591.7,4.2,31,Female,Sensitive,Kolkata,Online,01-11-2023,0,November,4,Wednesday,0,Mid-Range,Mature,518.34,Good,1,0
PROD0023,Colorbar,Setting Spray,1188.25,17,0,20200.25,3,36,Female,Normal,Chennai,Retail Store,27-11-2023,0,November,4,Monday,0,Mid-Range,Mature,1188.25,Average,0,0
PROD0024,Lakme,Foundation,1765.97,37,20,52272.71,5,20,Female,Combination,Chennai,Brand Store,28-06-2023,0,June,2,Wednesday,0,Premium,Mature,1412.78,Excellent,1,0
PROD0025,NYX,Concealer,609.3,35,20,17060.4,4.3,55,Female,Sensitive,Mumbai,Brand Store,06-12-2023,0,December,4,Wednesday,0,Mid-Range,Mature,487.44,Good,1,0
PROD0026,Maybelline,Blush,2251.74,48,20,86466.82,3.9,33,Female,Dry,Hyderabad,Brand Store,15-04-2023,0,April,2,Saturday,1,Premium,Mature,1801.39,Average,0,0
PROD0027,Sugar,Primer,1177.73,4,0,4710.92,2.7,43,Female,Oily,Hyderabad,Online,08-03-2023,0,March,1,Wednesday,0,Mid-Range,Mature,1177.73,Poor,0,0
PROD0028,Faces Canada,Eyeliner,1087.64,36,5,37197.29,2.5,20,Male,Oily,Bangalore,Brand Store,26-10-2023,0,October,4,Thursday,0,Mid-Range,Mature,1033.26,Poor,0,0
PROD0029,NYX,Lipstick,1038.06,3,5,2958.47,4.7,29,Female,Oily,Chennai,Brand Store,14-10-2023,0,October,4,Saturday,1,Mid-Range,Young Adult,986.16,Excellent,1,0
PROD0030,L'Oreal,Setting Spray,1873.72,16,5,28480.54,4.7,27,Female,Dry,Kolkata,Online,20-06-2023,0,June,2,Tuesday,0,Premium,Young Adult,1780.03,Excellent,1,0
PROD0031,NYX,Eyeshadow,888.19,45,15,33973.27,2.8,18,Male,Dry,Ahmedabad,Online,24-08-2023,0,August,3,Thursday,0,Mid-Range,Mature,754.96,Poor,0,0
PROD0032,MAC,Eyeshadow,386.58,13,15,4271.71,3.5,33,Female,Combination,Delhi,Retail Store,24-07-2023,0,July,3,Monday,0,Budget,Mature,328.59,Average,0,0
PROD0033,Lakme,Concealer,499,17,25,6362.25,2.9,32,Female,Sensitive,Mumbai,Online,10-06-2023,0,June,2,Saturday,1,Budget,Mature,374.25,Poor,0,0
PROD0034,Nykaa,Foundation,3178.31,13,5,39252.13,3.1,43,Female,Sensitive,Mumbai,Brand Store,10-12-2023,0,December,4,Sunday,1,Premium,Mature,3019.39,Average,0,0
PROD0035,Colorbar,Concealer,1015.49,8,0,8123.92,4.3,35,Female,Normal,Hyderabad,Brand Store,23-12-2023,0,December,4,Saturday,1,Mid-Range,Mature,1015.49,Good,1,0
PROD0036,Nykaa,Highlighter,2128.44,12,10,22987.15,4,35,Female,Oily,Kolkata,Brand Store,18-04-2023,0,April,2,Tuesday,0,Premium,Mature,1915.6,Good,1,0
PROD0037,Sugar,Concealer,1348.09,44,0,59315.96,3,46,Female,Oily,Bangalore,Brand Store,06-12-2023,0,December,4,Wednesday,0,Mid-Range,Mature,1348.09,Average,0,0
PROD0038,NYX,Eyeshadow,1130.4,13,20,11756.16,2.9,18,Male,Sensitive,Chennai,Retail Store,07-02-2023,0,February,1,Tuesday,0,Mid-Range,Mature,904.32,Poor,0,0
PROD0039,MAC,Setting Spray,1520.91,25,0,38022.75,3.7,31,Male,Oily,Bangalore,Brand Store,24-02-2023,0,February,1,Friday,0,Premium,Mature,1520.91,Average,0,0
PROD0040,Sugar,Primer,554.73,16,25,6656.76,4.8,23,Female,Normal,Ahmedabad,Online,14-10-2023,0,October,4,Saturday,1,Mid-Range,Young Adult,416.05,Excellent,1,0
PROD0041,Colorbar,Eyeliner,1240.82,33,0,40947.06,3.6,51,Female,Normal,Ahmedabad,Online,07-05-2023,0,May,2,Sunday,1,Mid-Range,Mature,1240.82,Average,0,0
PROD0042,Sugar,Primer,2342.55,18,0,42165.9,3.6,34,Female,Combination,Chennai,Retail Store,04-10-2023,0,October,4,Wednesday,0,Premium,Mature,2342.55,Average,0,0
PROD0043,L'Oreal,Highlighter,2207.04,5,15,9379.92,3.5,37,Female,Oily,Ahmedabad,Retail Store,04-08-2023,0,August,3,Friday,0,Premium,Mature,1875.98,Average,0,0
PROD0044,Colorbar,Lipstick,1074.26,1,20,859.41,4.9,35,Female,Sensitive,Kolkata,Retail Store,07-10-2023,0,October,4,Saturday,1,Mid-Range,Mature,859.41,Excellent,1,0
PROD0045,MAC,Eyeliner,481.38,32,5,14633.95,2.6,37,Male,Dry,Kolkata,Brand Store,07-03-2023,1,March,1,Tuesday,0,Budget,Mature,457.31,Poor,0,14633.95
PROD0046,Colorbar,Highlighter,1823.42,2,5,3464.5,2.7,43,Female,Dry,Bangalore,Retail Store,14-07-2023,0,July,3,Friday,0,Premium,Mature,1732.25,Poor,0,0
PROD0047,Nykaa,Concealer,922.75,27,0,24914.25,3.1,21,Female,Sensitive,Ahmedabad,Online,29-06-2023,0,June,2,Thursday,0,Mid-Range,Young Adult,922.75,Average,0,0
PROD0048,Lakme,Lipstick,2384.06,13,0,30992.78,4.6,55,Female,Dry,Bangalore,Online,28-02-2023,0,February,1,Tuesday,0,Premium,Mature,2384.06,Excellent,1,0
PROD0049,Revlon,Blush,626.69,39,20,19552.73,4.9,23,Female,Oily,Bangalore,Retail Store,09-06-2023,0,June,2,Friday,0,Mid-Range,Young Adult,501.35,Excellent,1,0
PROD0050,Nykaa,Highlighter,2841.91,13,15,31403.11,2.7,31,Male,Combination,Delhi,Brand Store,04-11-2023,0,November,4,Saturday,1,Premium,Mature,2415.62,Poor,0,0
PROD0051,Lakme,Setting Spray,889.59,28,0,24908.52,4.2,20,Male,Normal,Pune,Online,24-02-2023,0,February,1,Friday,0,Mid-Range,Mature,889.59,Good,1,0
PROD0052,L'Oreal,Eyeliner,709.12,47,20,26662.91,3.8,33,Male,Normal,Ahmedabad,Retail Store,31-10-2023,0,October,4,Tuesday,0,Mid-Range,Mature,567.3,Average,0,0
PROD0053,NYX,Foundation,3121.1,16,0,49937.6,4.4,52,Female,Oily,Kolkata,Retail Store,16-06-2023,0,June,2,Friday,0,Premium,Mature,3121.1,Good,1,0
PROD0054,Revlon,Blush,878.51,39,15,29122.61,4.3,33,Female,Dry,Mumbai,Brand Store,28-07-2023,0,July,3,Friday,0,Mid-Range,Mature,746.73,Good,1,0
PROD0055,Sugar,Eyeliner,726.89,2,10,1308.4,2.7,30,Female,Dry,Kolkata,Brand Store,25-10-2023,0,October,4,Wednesday,0,Mid-Range,Young Adult,654.2,Poor,0,0
